Column1,Column2,Column3
Microphon Number,x (mm),y (mm)
MK0,147.545,10.222
MK1,153.447,0
MK2,147.545,-10.222
MK3,153.447,-20.444
MK4,147.545,-30.667
MK5,153.447,-40.889
MK6,141.643,-40.889
MK7,147.545,-51.111
MK8,141.643,-61.333
MK9,135.741,-71.556
MK10,129.84,-81.778
MK11,123.938,-92
MK12,118.036,-102.222
MK13,106.232,-102.222
MK14,112.134,-112.444
MK15,100.331,-112.444
MK16,94.429,-122.667
MK17,82.625,-122.667
MK18,76.723,-132.889
MK19,64.92,-132.889
MK20,59.018,-143.111
MK21,47.214,-143.111
MK22,41.313,-153.333
MK23,35.411,-143.111
MK24,29.509,-153.333
MK25,17.705,-153.333
MK26,5.902,-153.333
MK27,-5.902,-153.333
MK28,-17.705,-153.333
MK29,-29.509,-153.333
MK30,-35.411,-143.111
MK31,-41.313,-153.333
MK32,-47.214,-143.111
MK33,-59.018,-143.111
MK34,-64.92,-132.889
MK35,-76.723,-132.889
MK36,-82.625,-122.667
MK37,-94.429,-122.667
MK38,-100.331,-112.444
MK39,-112.134,-112.444
MK40,-106.232,-102.222
MK41,-118.036,-102.222
MK42,-123.938,-92
MK43,-129.84,-81.778
MK44,-135.741,-71.556
MK45,-141.643,-61.333
MK46,-147.545,-51.111
MK47,-141.643,-40.889
MK48,-153.447,-40.889
MK49,-147.545,-30.667
MK50,-153.447,-20.444
MK51,-147.545,-10.222
MK52,-153.447,0
MK53,-147.545,10.222
MK54,-153.447,20.444
MK55,-147.545,30.667
MK56,-153.447,40.889
MK57,-141.643,40.889
MK58,-147.545,51.111
MK59,-141.643,61.333
MK60,-135.741,71.556
MK61,-129.84,81.778
MK62,-123.938,92
MK63,-118.036,102.222
MK64,-106.232,102.222
MK65,-112.134,112.444
MK66,-100.331,112.444
MK67,-94.429,122.667
MK68,-82.625,122.667
MK69,-76.723,132.889
MK70,-64.92,132.889
MK71,-59.018,143.111
MK72,-47.214,143.111
MK73,-41.313,153.333
MK74,-35.411,143.111
MK75,-29.509,153.333
MK76,-17.705,153.333
MK77,-5.902,153.333
MK78,5.902,153.333
MK79,17.705,153.333
MK80,29.509,153.333
MK81,35.411,143.111
MK82,41.313,153.333
MK83,47.214,143.111
MK84,59.018,143.111
MK85,64.92,132.889
MK86,76.723,132.889
MK87,82.625,122.667
MK88,94.429,122.667
MK89,100.331,112.444
MK90,112.134,112.444
MK91,106.232,102.222
MK92,118.036,102.222
MK93,123.938,92
MK94,129.84,81.778
MK95,135.741,71.556
MK96,141.643,61.333
MK97,147.545,51.111
MK98,141.643,40.889
MK99,153.447,40.889
MK100,147.545,30.667
MK101,153.447,20.444
